ligne,station,ordre,correspondance,station_norm
RER A 4,Marne la Vallée Chessy – Parc Disneyland,28,,marne la vallee chessy parc disneyland
RER A 5,Poissy,1,,poissy
RER A 5,Achères Grand Cormier,2,,acheres grand cormier
RER A 5,Maisons Laffitte,3,,maisons laffitte
RER A 5,Sartrouville,4,,sartrouville
RER A 5,Houilles Carrières sur Seine,5,,houilles carrieres sur seine
RER A 5,Nanterre – Préfecture,6,,nanterre prefecture
RER A 5,La Défense Grande Arche,7,METRO 1,la defense grande arche
RER A 5,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile
RER A 5,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber
RER A 5,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles
RER A 5,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon
RER A 5,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation
RER A 5,Vincennes,13,,vincennes
RER A 5,Val de Fontenay,14,RER E,val de fontenay
RER A 5,Neuilly Plaisance,15,,neuilly plaisance
RER A 5,Bry sur Marne,16,,bry sur marne
RER A 5,Noisy le Grand Mont d’Est,17,,noisy le grand mont d'est
RER A 5,Noisy Champs,18,,noisy champs
RER A 5,Noisiel,19,,noisiel
RER A 5,Lognes,20,,lognes
RER A 5,Torcy,21,,torcy
RER A 5,Bussy Saint-Georges,22,,bussy saint georges
RER A 5,Serris-Montévrain – Val d’Europe,23,,serris montevrain val d'europe
RER A 5,Marne la Vallée Chessy – Parc Disneyland,24,,marne la vallee chessy parc disneyland
RER A 6,Saint Germain en Laye,1,,saint germain en laye
RER A 6,Le Vésinet – Le Pecq,2,,le vesinet le pecq
RER A 6,Le Vésinet – Centre,3,,le vesinet centre
RER A 6,Chatou-Croissy,4,,chatou croissy
RER A 6,Rueil Malmaison,5,,rueil malmaison
RER A 6,Nanterre Ville,6,,nanterre ville
RER A 6,Nanterre Université,7,,nanterre universite
RER A 6,Nanterre – Préfecture,8,,nanterre prefecture
RER A 6,La Défense Grande Arche,9,METRO 1,la defense grande arche
RER A 6,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile
RER A 6,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber
RER A 6,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles
RER A 6,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon
RER A 6,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation
RER A 6,Vincennes,15,,vincennes
RER A 6,Val de Fontenay,16,RER E,val de fontenay
RER A 6,Neuilly Plaisance,17,,neuilly plaisance
RER A 6,Bry sur Marne,18,,bry sur marne
RER A 6,Noisy le Grand Mont d’Est,19,,noisy le grand mont d'est
RER A 6,Noisy Champs,20,,noisy champs
RER A 6,Noisiel,21,,noisiel
RER A 6,Lognes,22,,lognes
RER A 6,Torcy,23,,torcy
RER A 6,Bussy Saint-Georges,24,,bussy saint georges
RER A 6,Serris-Montévrain – Val d’Europe,25,,serris montevrain val d'europe
RER A 6,Marne la Vallée Chessy – Parc Disneyland,26,,marne la vallee chessy parc disneyland
RER B 1,Aéroport Charles de Gaulle 2 TGV,1,,aeroport charles de gaulle 2 tgv
RER B 1,Aéroport Charles de Gaulle 1,2,,aeroport charles de gaulle 1
RER B 1,Parc des expositions,3,,parc des expositions
RER B 1,Villepinte,4,,villepinte
RER B 1,Sevran Beaudottes,5,,sevran beaudottes
RER B 1,Aulnay sous Bois,6,,aulnay sous bois
RER B 1,Le Blanc Mesnil,7,,le blanc mesnil
RER B 1,Drancy,8,,drancy
RER B 1,Le Bourget,9,,le bourget
RER B 1,La Courneuve Aubervilliers,10,,la courneuve aubervilliers
RER B 1,La Plaine – Stade de France – Saint Denis – Aubervilliers,11,,la plaine stade de france saint denis aubervilliers
RER B 1,Paris Nord,12,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord
RER B 1,Châtelet – Les Halles,13,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles
RER B 1,Saint-Michel Notre Dame,14,"RER C, METRO 10",saint michel notre dame
RER B 1,Luxembourg Sénat,15,,luxembourg senat
RER B 1,Port Royal,16,,port royal
RER B 1,Denfert Rochereau – Colonel Rol-Tanguy,17,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy
RER B 1,Cité Universitaire,18,,cite universitaire
RER B 1,Gentilly,19,,gentilly
RER B 1,Laplace – Maison des Examens,20,,laplace maison des examens
RER B 1,Arcueil Cachan,21,,arcueil cachan
RER B 1,Bagneux,22,,bagneux
RER B 1,Bourg la Reine,23,,bourg la reine
RER B 1,Sceaux,24,,sceaux
RER B 1,Fontenay aux Roses,25,,fontenay aux roses
RER B 1,Robinson,26,,robinson
RER B 2,Mitry Claye,1,,mitry claye
RER B 2,Villeparisis Mitry le Neuf,2,,villeparisis mitry le neuf
RER B 2,Vert Galant,3,,vert galant
RER B 2,Sevran Livry,4,,sevran livry
RER B 2,Aulnay sous Bois,5,,aulnay sous bois
RER B 2,Le Blanc Mesnil,6,,le blanc mesnil
RER B 2,Drancy,7,,drancy
RER B 2,Le Bourget,8,,le bourget
RER B 2,La Courneuve Aubervilliers,9,,la courneuve aubervilliers
RER B 2,La Plaine – Stade de France – Saint Denis – Aubervilliers,10,,la plaine stade de france saint denis aubervilliers
RER B 2,Paris Nord,11,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord
RER B 2,Châtelet – Les Halles,12,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles
RER B 2,Saint-Michel Notre Dame,13,"RER C, METRO 10",saint michel notre dame
RER B 2,Luxembourg Sénat,14,,luxembourg senat
RER B 2,Port Royal,15,,port royal
RER B 2,Denfert Rochereau – Colonel Rol-Tanguy,16,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy
RER B 2,Cité Universitaire,17,,cite universitaire
RER B 2,Gentilly,18,,gentilly
RER B 2,Laplace – Maison des Examens,19,,laplace maison des examens
RER B 2,Arcueil Cachan,20,,arcueil cachan
RER B 2,Bagneux,21,,bagneux
RER B 2,Bourg la Reine,22,,bourg la reine
RER B 2,Sceaux,23,,sceaux
RER B 2,Fontenay aux Roses,24,,fontenay aux roses
RER B 2,Robinson,25,,robinson
RER B 3,Aéroport Charles de Gaulle 2 TGV,1,,aeroport charles de gaulle 2 tgv
RER B 3,Aéroport Charles de Gaulle 1,2,,aeroport charles de gaulle 1
RER B 3,Parc des expositions,3,,parc des expositions
RER B 3,Villepinte,4,,villepinte
RER B 3,Sevran Beaudottes,5,,sevran beaudottes
RER B 3,Aulnay sous Bois,6,,aulnay sous bois
RER B 3,Le Blanc Mesnil,7,,le blanc mesnil
RER B 3,Drancy,8,,drancy
RER B 3,Le Bourget,9,,le bourget
RER B 3,La Courneuve Aubervilliers,10,,la courneuve aubervilliers
RER B 3,La Plaine – Stade de France – Saint Denis – Aubervilliers,11,,la plaine stade de france saint denis aubervilliers
RER B 3,Paris Nord,12,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord
RER B 3,Châtelet – Les Halles,13,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles
RER B 3,Saint-Michel Notre Dame,14,"RER C, METRO 10",saint michel notre dame
RER B 3,Luxembourg Sénat,15,,luxembourg senat
RER B 3,Port Royal,16,,port royal
RER B 3,Denfert Rochereau – Colonel Rol-Tanguy,17,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy
RER B 3,Cité Universitaire,18,,cite universitaire
RER B 3,Gentilly,19,,gentilly
RER B 3,Laplace – Maison des Examens,20,,laplace maison des examens
RER B 3,Arcueil Cachan,21,,arcueil cachan
RER B 3,Bagneux,22,,bagneux
RER B 3,Bourg la Reine,23,,bourg la reine
RER B 3,Parc de Sceaux,24,,parc de sceaux
RER B 3,La Croix de Berny,25,,la croix de berny
RER B 3,Antony – Orly,26,,antony orly
RER B 3,Fontaine Michalon,27,,fontaine michalon
RER B 3,Les Baconnets,28,,les baconnets
RER B 3,Massy Verrières,29,RER C,massy verrieres
RER B 3,Massy Palaiseau,30,RER C,massy palaiseau
RER B 3,Palaiseau,31,,palaiseau
RER B 3,Palaiseau Villebon,32,,palaiseau villebon
RER B 3,Lozère École Polytechnique,33,,lozere ecole polytechnique
RER B 3,Le Guichet,34,,le guichet
RER B 3,Orsay Ville,35,,orsay ville
RER B 3,Bures sur Yvette,36,,bures sur yvette
RER B 3,La Hacquinière,37,,la hacquiniere
RER B 3,Gif sur Yvette,38,,gif sur yvette
RER B 3,Courcelle sur Yvette,39,,courcelle sur yvette
RER B 3,Saint-Rémy lès Chevreuse,40,,saint remy les chevreuse
RER B 4,Mitry Claye,1,,mitry claye
RER B 4,Villeparisis Mitry le Neuf,2,,villeparisis mitry le neuf
RER B 4,Vert Galant,3,,vert galant
RER B 4,Sevran Livry,4,,sevran livry
RER B 4,Aulnay sous Bois,5,,aulnay sous bois
RER B 4,Le Blanc Mesnil,6,,le blanc mesnil
RER B 4,Drancy,7,,drancy
RER B 4,Le Bourget,8,,le bourget
RER B 4,La Courneuve Aubervilliers,9,,la courneuve aubervilliers
RER B 4,La Plaine – Stade de France – Saint Denis – Aubervilliers,10,,la plaine stade de france saint denis aubervilliers
RER B 4,Paris Nord,11,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord
RER B 4,Châtelet – Les Halles,12,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles
RER B 4,Saint-Michel Notre Dame,13,"RER C, METRO 10",saint michel notre dame
RER B 4,Luxembourg Sénat,14,,luxembourg senat
RER B 4,Port Royal,15,,port royal
RER B 4,Denfert Rochereau – Colonel Rol-Tanguy,16,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy
RER B 4,Cité Universitaire,17,,cite universitaire
RER B 4,Gentilly,18,,gentilly
RER B 4,Laplace – Maison des Examens,19,,laplace maison des examens
RER B 4,Arcueil Cachan,20,,arcueil cachan
RER B 4,Bagneux,21,,bagneux
RER B 4,Bourg la Reine,22,,bourg la reine
RER B 4,Parc de Sceaux,23,,parc de sceaux
RER B 4,La Croix de Berny,24,,la croix de berny
RER B 4,Antony – Orly,25,,antony orly
RER B 4,Fontaine Michalon,26,,fontaine michalon
RER B 4,Les Baconnets,27,,les baconnets
RER B 4,Massy Verrières,28,RER C,massy verrieres
RER B 4,Massy Palaiseau,29,RER C,massy palaiseau
RER B 4,Palaiseau,30,,palaiseau
RER B 4,Palaiseau Villebon,31,,palaiseau villebon
RER B 4,Lozère École Polytechnique,32,,lozere ecole polytechnique
RER B 4,Le Guichet,33,,le guichet
RER B 4,Orsay Ville,34,,orsay ville
RER B 4,Bures sur Yvette,35,,bures sur yvette
RER B 4,La Hacquinière,36,,la hacquiniere
RER B 4,Gif sur Yvette,37,,gif sur yvette
RER B 4,Courcelle sur Yvette,38,,courcelle sur yvette
RER B 4,Saint-Rémy lès Chevreuse,39,,saint remy les chevreuse
RER C 1,Pontoise,1,,pontoise
RER C 1,Saint-Ouen l’Aumône,2,,saint ouen l'aumone
RER C 1,Saint-Ouen l’Aumône Liesse,3,,saint ouen l'aumone liesse
RER C 1,Pierrelaye,4,,pierrelaye
RER C 1,Montigny Beauchamp,5,,montigny beauchamp
RER C 1,Franconville Le Plessis-Bouchard,6,,franconville le plessis bouchard
RER C 1,Cernay,7,,cernay
RER C 1,Ermont Eaubonne,8,,ermont eaubonne
RER C 1,Saint-Gratien,9,,saint gratien
RER C 1,Épinay-sur-Seine,10,,epinay sur seine
RER C 1,Gennevilliers,11,,gennevilliers
RER C 1,Les Grésillons,12,,les gresillons
RER C 1,Saint-Ouen,13,METRO 14,saint ouen
RER C 1,Porte de Clichy – Tribunal de Paris,14,"METRO 13, METRO 14",porte de clichy tribunal de paris
RER C 1,Péreire Levallois,15,METRO 3,pereire levallois
RER C 1,Neuilly Porte Maillot – Palais des congrès,16,METRO 1,neuilly porte maillot palais des congres
RER C 1,Avenue Foch,17,METRO 2,avenue foch
RER C 1,Avenue Henri Martin,18,METRO 9,avenue henri martin
RER C 1,Boulainvilliers,19,METRO 9,boulainvilliers
RER C 1,Avenue du Président Kennedy – Maison de Radio France,20,,avenue du president kennedy maison de radio france
RER C 1,Champ de Mars – Tour Eiffel,21,METRO 6,champ de mars tour eiffel
RER C 1,Pont de l’Alma,22,METRO 9,pont de l'alma
RER C 1,Invalides,23,"METRO 8, METRO 13",invalides
RER C 1,Musée d’Orsay,24,METRO 12,musee d'orsay
RER C 1,Saint-Michel Notre Dame,25,"RER B, METRO 4, METRO 10",saint michel notre dame
RER C 1,Paris Austerlitz,26,"METRO 5, METRO 10",paris austerlitz
RER C 1,Bibliothèque François Mitterrand,27,METRO 14,bibliotheque francois mitterrand
RER C 1,Ivry sur Seine,28,METRO 7,ivry sur seine
RER C 1,Vitry sur Seine,29,,vitry sur seine
RER C 1,Les Ardoines,30,,les ardoines
RER C 1,Choisy le Roi,31,,choisy le roi
RER C 1,Les Saules,32,,les saules
RER C 1,Orly Ville,33,,orly ville
RER C 1,Pont de Rungis – Aéroport d’Orly,34,METRO 14,pont de rungis aeroport d'orly
RER C 1,Rungis La Fraternelle,35,,rungis la fraternelle
RER C 1,Chemin d’Antony,36,,chemin d'antony
RER C 1,Massy Verrières,37,RER B,massy verrieres
RER C 1,Massy Palaiseau,38,RER B,massy palaiseau
RER C 2,Pontoise,1,,pontoise
RER C 2,Saint-Ouen l’Aumône,2,,saint ouen l'aumone
RER C 2,Saint-Ouen l’Aumône Liesse,3,,saint ouen l'aumone liesse
RER C 2,Pierrelaye,4,,pierrelaye
RER C 2,Montigny Beauchamp,5,,montigny beauchamp
RER C 2,Franconville Le Plessis-Bouchard,6,,franconville le plessis bouchard
RER C 2,Cernay,7,,cernay
RER C 2,Ermont Eaubonne,8,,ermont eaubonne
RER C 2,Saint-Gratien,9,,saint gratien
RER C 2,Épinay-sur-Seine,10,,epinay sur seine
RER C 2,Gennevilliers,11,,gennevilliers
RER C 2,Les Grésillons,12,,les gresillons
RER C 2,Saint-Ouen,13,METRO 14,saint ouen
RER C 2,Porte de Clichy – Tribunal de Paris,14,"METRO 13, METRO 14",porte de clichy tribunal de paris
RER C 2,Péreire Levallois,15,METRO 3,pereire levallois
RER C 2,Neuilly Porte Maillot – Palais des congrès,16,METRO 1,neuilly porte maillot palais des congres
RER C 2,Avenue Foch,17,METRO 2,avenue foch
RER C 2,Avenue Henri Martin,18,METRO 9,avenue henri martin
RER C 2,Boulainvilliers,19,METRO 9,boulainvilliers
RER C 2,Avenue du Président Kennedy – Maison de Radio France,20,,avenue du president kennedy maison de radio france
RER C 2,Champ de Mars – Tour Eiffel,21,METRO 6,champ de mars tour eiffel
RER C 2,Pont de l’Alma,22,METRO 9,pont de l'alma
RER C 2,Invalides,23,"METRO 8, METRO 13",invalides
RER C 2,Musée d’Orsay,24,METRO 12,musee d'orsay
RER C 2,Saint-Michel Notre Dame,25,"RER B, METRO 4, METRO 10",saint michel notre dame
RER C 2,Paris Austerlitz,26,"METRO 5, METRO 10",paris austerlitz
RER C 2,Bibliothèque François Mitterrand,27,METRO 14,bibliotheque francois mitterrand
RER C 2,Ivry sur Seine,28,METRO 7,ivry sur seine
RER C 2,Vitry sur Seine,29,,vitry sur seine
RER C 2,Les Ardoines,30,,les ardoines
RER C 2,Choisy le Roi,31,,choisy le roi
RER C 2,Les Saules,32,,les saules
RER C 2,Orly Ville,33,,orly ville
RER C 2,Pont de Rungis – Aéroport d’Orly,34,METRO 14,pont de rungis aeroport d'orly
RER C 2,Rungis La Fraternelle,35,,rungis la fraternelle
RER C 2,Chemin d’Antony,36,,chemin d'antony
RER C 2,Massy Verrières,37,RER B,massy verrieres
RER C 2,Massy Palaiseau,38,RER B,massy palaiseau
RER C 2,Savigny sur Orge,39,,savigny sur orge
RER C 2,Épinay sur Orge,40,,epinay sur orge
RER C 2,Sainte-Geneviève des Bois,41,,sainte genevieve des bois
RER C 2,Saint-Michel sur Orge,42,,saint michel sur orge
RER C 2,Brétigny,43,,bretigny
RER C 2,Marolles en Hurepoix,44,,marolles en hurepoix
RER C 2,Bouray,45,,bouray
RER C 2,Lardy,46,,lardy
RER C 2,Chamarande,47,,chamarande
RER C 2,Étréchy,48,,etrechy
RER C 2,Étampes,49,,etampes
RER C 2,Saint Martin d’Étampes,50,,saint martin d'etampes
RER C 3,Pontoise,1,,pontoise
RER C 3,Saint-Ouen l’Aumône,2,,saint ouen l'aumone
RER C 3,Saint-Ouen l’Aumône Liesse,3,,saint ouen l'aumone liesse
RER C 3,Pierrelaye,4,,pierrelaye
RER C 3,Montigny Beauchamp,5,,montigny beauchamp
RER C 3,Franconville Le Plessis-Bouchard,6,,franconville le plessis bouchard
RER C 3,Cernay,7,,cernay
RER C 3,Ermont Eaubonne,8,,ermont eaubonne
RER C 3,Saint-Gratien,9,,saint gratien
RER C 3,Épinay-sur-Seine,10,,epinay sur seine
RER C 3,Gennevilliers,11,,gennevilliers
RER C 3,Les Grésillons,12,,les gresillons
RER C 3,Saint-Ouen,13,METRO 14,saint ouen
RER C 3,Porte de Clichy – Tribunal de Paris,14,"METRO 13, METRO 14",porte de clichy tribunal de paris
RER C 3,Péreire Levallois,15,METRO 3,pereire levallois
RER C 3,Neuilly Porte Maillot – Palais des congrès,16,METRO 1,neuilly porte maillot palais des congres
RER C 3,Avenue Foch,17,METRO 2,avenue foch
RER C 3,Avenue Henri Martin,18,METRO 9,avenue henri martin
RER C 3,Boulainvilliers,19,METRO 9,boulainvilliers
RER C 3,Avenue du Président Kennedy – Maison de Radio France,20,,avenue du president kennedy maison de radio france
RER C 3,Champ de Mars – Tour Eiffel,21,METRO 6,champ de mars tour eiffel
RER C 3,Pont de l’Alma,22,METRO 9,pont de l'alma
RER C 3,Invalides,23,"METRO 8, METRO 13",invalides
RER C 3,Musée d’Orsay,24,METRO 12,musee d'orsay
RER C 3,Saint-Michel Notre Dame,25,"RER B, METRO 4, METRO 10",saint michel notre dame
RER C 3,Paris Austerlitz,26,"METRO 5, METRO 10",paris austerlitz
RER C 3,Bibliothèque François Mitterrand,27,METRO 14,bibliotheque francois mitterrand
RER C 3,Ivry sur Seine,28,METRO 7,ivry sur seine
RER C 3,Vitry sur Seine,29,,vitry sur seine
RER C 3,Les Ardoines,30,,les ardoines
RER C 3,Choisy le Roi,31,,choisy le roi
RER C 3,Les Saules,32,,les saules
RER C 3,Orly Ville,33,,orly ville
RER C 3,Pont de Rungis – Aéroport d’Orly,34,METRO 14,pont de rungis aeroport d'orly
RER C 3,Rungis La Fraternelle,35,,rungis la fraternelle
RER C 3,Chemin d’Antony,36,,chemin d'antony
RER C 3,Massy Verrières,37,RER B,massy verrieres
RER C 3,Massy Palaiseau,38,RER B,massy palaiseau
RER C 3,Brétigny,39,,bretigny
RER C 3,La Norville – Saint-Germain lès Arpajon,40,,la norville saint germain les arpajon
RER C 3,Arpajon,41,,arpajon
RER C 3,Égly,42,,egly
RER C 3,Breuillet – Bruyères le Châtel,43,,breuillet bruyeres le chatel
RER C 3,Breuillet Village,44,,breuillet village
RER C 3,Saint-Chéron,45,,saint cheron
RER C 3,Sermaise,46,,sermaise
RER C 3,Dourdan,47,,dourdan
RER C 3,Dourdan la Forêt,48,,dourdan la foret
RER C 4,Versailles Château Rive Gauche,1,,versailles chateau rive gauche
RER C 4,Porchefontaine,2,,porchefontaine
RER C 4,Viroflay Rive Gauche,3,METRO 6,viroflay rive gauche
RER C 4,Chaville Vélizy,4,,chaville velizy
RER C 4,Meudon Val Fleury,5,,meudon val fleury
RER C 4,Issy,6,,issy
RER C 4,Issy Val de Seine,7,,issy val de seine
RER C 4,Pont du Garigliano – Hôpital Européen Georges Pompidou,8,,pont du garigliano hopital europeen georges pompidou
RER C 4,Javel,9,METRO 10,javel
RER C 4,Champ de Mars – Tour Eiffel,10,METRO 6,champ de mars tour eiffel
RER C 4,Pont de l’Alma,11,METRO 9,pont de l'alma
RER C 4,Invalides,12,"METRO 8, METRO 13",invalides
RER C 4,Musée d’Orsay,13,METRO 12,musee d'orsay
RER C 4,Saint-Michel Notre Dame,14,"RER B, METRO 4, METRO 10",saint michel notre dame
RER C 4,Paris Austerlitz,15,"METRO 5, METRO 10",paris austerlitz
RER C 4,Bibliothèque François Mitterrand,16,METRO 14,bibliotheque francois mitterrand
RER C 4,Ivry sur Seine,17,METRO 7,ivry sur seine
RER C 4,Vitry sur Seine,18,,vitry sur seine
RER C 4,Les Ardoines,19,,les ardoines
RER C 4,Choisy le Roi,20,,choisy le roi
RER C 4,Les Saules,21,,les saules
RER C 4,Orly Ville,22,,orly ville
RER C 4,Pont de Rungis – Aéroport d’Orly,23,METRO 14,pont de rungis aeroport d'orly
RER C 4,Rungis La Fraternelle,24,,rungis la fraternelle
RER C 4,Chemin d’Antony,25,,chemin d'antony
RER C 4,Massy Verrières,26,RER B,massy verrieres
RER C 4,Massy Palaiseau,27,RER B,massy palaiseau
RER C 5,Versailles Château Rive Gauche,1,,versailles chateau rive gauche
RER C 5,Porchefontaine,2,,porchefontaine
RER C 5,Viroflay Rive Gauche,3,METRO 6,viroflay rive gauche
