ligne,station,ordre,correspondance
RER B 1,Port Royal,16,
RER B 1,Denfert Rochereau – Colonel Rol-Tanguy,17,"METRO 4, METRO 6"
RER B 1,Cité Universitaire,18,
RER B 1,Gentilly,19,
RER B 1,Laplace – Maison des Examens,20,
RER B 1,Arcueil Cachan,21,
RER B 1,Bagneux,22,
RER B 1,Bourg la Reine,23,
RER B 1,Sceaux,24,
RER B 1,Fontenay aux Roses,25,
RER B 1,Robinson,26,
RER B 2,Mitry Claye,1,
RER B 2,Villeparisis Mitry le Neuf,2,
RER B 2,Vert Galant,3,
RER B 2,Sevran Livry,4,
RER B 2,Aulnay sous Bois,5,
RER B 2,Le Blanc Mesnil,6,
RER B 2,Drancy,7,
RER B 2,Le Bourget,8,
RER B 2,La Courneuve Aubervilliers,9,
RER B 2,La Plaine – Stade de France – Saint Denis – Aubervilliers,10,
RER B 2,Paris Nord,11,"RER D, RER E, METRO 2, METRO 4, METRO 5"
RER B 2,Châtelet – Les Halles,12,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14"
RER B 2,Saint-Michel Notre Dame,13,"RER C, METRO 10"
RER B 2,Luxembourg Sénat,14,
RER B 2,Port Royal,15,
RER B 2,Denfert Rochereau – Colonel Rol-Tanguy,16,"METRO 4, METRO 6"
RER B 2,Cité Universitaire,17,
RER B 2,Gentilly,18,
RER B 2,Laplace – Maison des Examens,19,
RER B 2,Arcueil Cachan,20,
RER B 2,Bagneux,21,
RER B 2,Bourg la Reine,22,
RER B 2,Sceaux,23,
RER B 2,Fontenay aux Roses,24,
RER B 2,Robinson,25,
RER B 3,Aéroport Charles de Gaulle 2 TGV,1,
RER B 3,Aéroport Charles de Gaulle 1,2,
RER B 3,Parc des expositions,3,
RER B 3,Villepinte,4,
RER B 3,Sevran Beaudottes,5,
RER B 3,Aulnay sous Bois,6,
RER B 3,Le Blanc Mesnil,7,
RER B 3,Drancy,8,
RER B 3,Le Bourget,9,
RER B 3,La Courneuve Aubervilliers,10,
RER B 3,La Plaine – Stade de France – Saint Denis – Aubervilliers,11,
RER B 3,Paris Nord,12,"RER D, RER E, METRO 2, METRO 4, METRO 5"
RER B 3,Châtelet – Les Halles,13,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14"
RER B 3,Saint-Michel Notre Dame,14,"RER C, METRO 10"
RER B 3,Luxembourg Sénat,15,
RER B 3,Port Royal,16,
RER B 3,Denfert Rochereau – Colonel Rol-Tanguy,17,"METRO 4, METRO 6"
RER B 3,Cité Universitaire,18,
RER B 3,Gentilly,19,
RER B 3,Laplace – Maison des Examens,20,
RER B 3,Arcueil Cachan,21,
RER B 3,Bagneux,22,
RER B 3,Bourg la Reine,23,
RER B 3,Parc de Sceaux,24,
RER B 3,La Croix de Berny,25,
RER B 3,Antony – Orly,26,
RER B 3,Fontaine Michalon,27,
RER B 3,Les Baconnets,28,
RER B 3,Massy Verrières,29,RER C
RER B 3,Massy Palaiseau,30,RER C
RER B 3,Palaiseau,31,
RER B 3,Palaiseau Villebon,32,
RER B 3,Lozère École Polytechnique,33,
RER B 3,Le Guichet,34,
RER B 3,Orsay Ville,35,
RER B 3,Bures sur Yvette,36,
RER B 3,La Hacquinière,37,
RER B 3,Gif sur Yvette,38,
RER B 3,Courcelle sur Yvette,39,
RER B 3,Saint-Rémy lès Chevreuse,40,
RER B 4,Mitry Claye,1,
RER B 4,Villeparisis Mitry le Neuf,2,
RER B 4,Vert Galant,3,
RER B 4,Sevran Livry,4,
RER B 4,Aulnay sous Bois,5,
RER B 4,Le Blanc Mesnil,6,
RER B 4,Drancy,7,
RER B 4,Le Bourget,8,
RER B 4,La Courneuve Aubervilliers,9,
RER B 4,La Plaine – Stade de France – Saint Denis – Aubervilliers,10,
RER B 4,Paris Nord,11,"RER D, RER E, METRO 2, METRO 4, METRO 5"
RER B 4,Châtelet – Les Halles,12,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14"
RER B 4,Saint-Michel Notre Dame,13,"RER C, METRO 10"
RER B 4,Luxembourg Sénat,14,
RER B 4,Port Royal,15,
RER B 4,Denfert Rochereau – Colonel Rol-Tanguy,16,"METRO 4, METRO 6"
RER B 4,Cité Universitaire,17,
RER B 4,Gentilly,18,
RER B 4,Laplace – Maison des Examens,19,
RER B 4,Arcueil Cachan,20,
RER B 4,Bagneux,21,
RER B 4,Bourg la Reine,22,
RER B 4,Parc de Sceaux,23,
RER B 4,La Croix de Berny,24,
RER B 4,Antony – Orly,25,
RER B 4,Fontaine Michalon,26,
RER B 4,Les Baconnets,27,
RER B 4,Massy Verrières,28,RER C
RER B 4,Massy Palaiseau,29,RER C
RER B 4,Palaiseau,30,
RER B 4,Palaiseau Villebon,31,
RER B 4,Lozère École Polytechnique,32,
RER B 4,Le Guichet,33,
RER B 4,Orsay Ville,34,
RER B 4,Bures sur Yvette,35,
RER B 4,La Hacquinière,36,
RER B 4,Gif sur Yvette,37,
RER B 4,Courcelle sur Yvette,38,
RER B 4,Saint-Rémy lès Chevreuse,39,
RER C 1,Pontoise,1,
RER C 1,Saint-Ouen l’Aumône,2,
RER C 1,Saint-Ouen l’Aumône Liesse,3,
RER C 1,Pierrelaye,4,
RER C 1,Montigny Beauchamp,5,
RER C 1,Franconville Le Plessis-Bouchard,6,
RER C 1,Cernay,7,
RER C 1,Ermont Eaubonne,8,
RER C 1,Saint-Gratien,9,
RER C 1,Épinay-sur-Seine,10,
RER C 1,Gennevilliers,11,
RER C 1,Les Grésillons,12,
RER C 1,Saint-Ouen,13,METRO 14
RER C 1,Porte de Clichy – Tribunal de Paris,14,"METRO 13, METRO 14"
RER C 1,Péreire Levallois,15,METRO 3
RER C 1,Neuilly Porte Maillot – Palais des congrès,16,METRO 1
RER C 1,Avenue Foch,17,METRO 2
RER C 1,Avenue Henri Martin,18,METRO 9
RER C 1,Boulainvilliers,19,METRO 9
RER C 1,Avenue du Président Kennedy – Maison de Radio France,20,
RER C 1,Champ de Mars – Tour Eiffel,21,METRO 6
RER C 1,Pont de l’Alma,22,METRO 9
RER C 1,Invalides,23,"METRO 8, METRO 13"
RER C 1,Musée d’Orsay,24,METRO 12
RER C 1,Saint-Michel Notre Dame,25,"RER B, METRO 4, METRO 10"
RER C 1,Paris Austerlitz,26,"METRO 5, METRO 10"
RER C 1,Bibliothèque François Mitterrand,27,METRO 14
RER C 1,Ivry sur Seine,28,METRO 7
RER C 1,Vitry sur Seine,29,
RER C 1,Les Ardoines,30,
RER C 1,Choisy le Roi,31,
RER C 1,Les Saules,32,
RER C 1,Orly Ville,33,
RER C 1,Pont de Rungis – Aéroport d’Orly,34,METRO 14
RER C 1,Rungis La Fraternelle,35,
RER C 1,Chemin d’Antony,36,
RER C 1,Massy Verrières,37,RER B
RER C 1,Massy Palaiseau,38,RER B
RER C 2,Pontoise,1,
RER C 2,Saint-Ouen l’Aumône,2,
RER C 2,Saint-Ouen l’Aumône Liesse,3,
RER C 2,Pierrelaye,4,
RER C 2,Montigny Beauchamp,5,
RER C 2,Franconville Le Plessis-Bouchard,6,
RER C 2,Cernay,7,
RER C 2,Ermont Eaubonne,8,
RER C 2,Saint-Gratien,9,
RER C 2,Épinay-sur-Seine,10,
RER C 2,Gennevilliers,11,
RER C 2,Les Grésillons,12,
RER C 2,Saint-Ouen,13,METRO 14
RER C 2,Porte de Clichy – Tribunal de Paris,14,"METRO 13, METRO 14"
RER C 2,Péreire Levallois,15,METRO 3
RER C 2,Neuilly Porte Maillot – Palais des congrès,16,METRO 1
RER C 2,Avenue Foch,17,METRO 2
RER C 2,Avenue Henri Martin,18,METRO 9
RER C 2,Boulainvilliers,19,METRO 9
RER C 2,Avenue du Président Kennedy – Maison de Radio France,20,
RER C 2,Champ de Mars – Tour Eiffel,21,METRO 6
RER C 2,Pont de l’Alma,22,METRO 9
RER C 2,Invalides,23,"METRO 8, METRO 13"
RER C 2,Musée d’Orsay,24,METRO 12
RER C 2,Saint-Michel Notre Dame,25,"RER B, METRO 4, METRO 10"
RER C 2,Paris Austerlitz,26,"METRO 5, METRO 10"
RER C 2,Bibliothèque François Mitterrand,27,METRO 14
RER C 2,Ivry sur Seine,28,METRO 7
RER C 2,Vitry sur Seine,29,
RER C 2,Les Ardoines,30,
RER C 2,Choisy le Roi,31,
RER C 2,Les Saules,32,
RER C 2,Orly Ville,33,
RER C 2,Pont de Rungis – Aéroport d’Orly,34,METRO 14
RER C 2,Rungis La Fraternelle,35,
RER C 2,Chemin d’Antony,36,
RER C 2,Massy Verrières,37,RER B
RER C 2,Massy Palaiseau,38,RER B
RER C 2,Savigny sur Orge,39,
RER C 2,Épinay sur Orge,40,
RER C 2,Sainte-Geneviève des Bois,41,
RER C 2,Saint-Michel sur Orge,42,
RER C 2,Brétigny,43,
RER C 2,Marolles en Hurepoix,44,
RER C 2,Bouray,45,
RER C 2,Lardy,46,
RER C 2,Chamarande,47,
RER C 2,Étréchy,48,
RER C 2,Étampes,49,
RER C 2,Saint Martin d’Étampes,50,
RER C 3,Pontoise,1,
RER C 3,Saint-Ouen l’Aumône,2,
RER C 3,Saint-Ouen l’Aumône Liesse,3,
RER C 3,Pierrelaye,4,
RER C 3,Montigny Beauchamp,5,
RER C 3,Franconville Le Plessis-Bouchard,6,
RER C 3,Cernay,7,
RER C 3,Ermont Eaubonne,8,
RER C 3,Saint-Gratien,9,
RER C 3,Épinay-sur-Seine,10,
RER C 3,Gennevilliers,11,
RER C 3,Les Grésillons,12,
RER C 3,Saint-Ouen,13,METRO 14
RER C 3,Porte de Clichy – Tribunal de Paris,14,"METRO 13, METRO 14"
RER C 3,Péreire Levallois,15,METRO 3
RER C 3,Neuilly Porte Maillot – Palais des congrès,16,METRO 1
RER C 3,Avenue Foch,17,METRO 2
RER C 3,Avenue Henri Martin,18,METRO 9
RER C 3,Boulainvilliers,19,METRO 9
RER C 3,Avenue du Président Kennedy – Maison de Radio France,20,
RER C 3,Champ de Mars – Tour Eiffel,21,METRO 6
RER C 3,Pont de l’Alma,22,METRO 9
RER C 3,Invalides,23,"METRO 8, METRO 13"
RER C 3,Musée d’Orsay,24,METRO 12
RER C 3,Saint-Michel Notre Dame,25,"RER B, METRO 4, METRO 10"
RER C 3,Paris Austerlitz,26,"METRO 5, METRO 10"
RER C 3,Bibliothèque François Mitterrand,27,METRO 14
RER C 3,Ivry sur Seine,28,METRO 7
RER C 3,Vitry sur Seine,29,
RER C 3,Les Ardoines,30,
RER C 3,Choisy le Roi,31,
RER C 3,Les Saules,32,
RER C 3,Orly Ville,33,
RER C 3,Pont de Rungis – Aéroport d’Orly,34,METRO 14
RER C 3,Rungis La Fraternelle,35,
RER C 3,Chemin d’Antony,36,
RER C 3,Massy Verrières,37,RER B
RER C 3,Massy Palaiseau,38,RER B
RER C 3,Brétigny,39,
RER C 3,La Norville – Saint-Germain lès Arpajon,40,
RER C 3,Arpajon,41,
RER C 3,Égly,42,
RER C 3,Breuillet – Bruyères le Châtel,43,
RER C 3,Breuillet Village,44,
RER C 3,Saint-Chéron,45,
RER C 3,Sermaise,46,
RER C 3,Dourdan,47,
RER C 3,Dourdan la Forêt,48,
RER C 4,Versailles Château Rive Gauche,1,
RER C 4,Porchefontaine,2,
RER C 4,Viroflay Rive Gauche,3,METRO 6
RER C 4,Chaville Vélizy,4,
RER C 4,Meudon Val Fleury,5,
RER C 4,Issy,6,
RER C 4,Issy Val de Seine,7,
RER C 4,Pont du Garigliano – Hôpital Européen Georges Pompidou,8,
RER C 4,Javel,9,METRO 10
RER C 4,Champ de Mars – Tour Eiffel,10,METRO 6
RER C 4,Pont de l’Alma,11,METRO 9
RER C 4,Invalides,12,"METRO 8, METRO 13"
RER C 4,Musée d’Orsay,13,METRO 12
RER C 4,Saint-Michel Notre Dame,14,"RER B, METRO 4, METRO 10"
RER C 4,Paris Austerlitz,15,"METRO 5, METRO 10"
RER C 4,Bibliothèque François Mitterrand,16,METRO 14
RER C 4,Ivry sur Seine,17,METRO 7
RER C 4,Vitry sur Seine,18,
RER C 4,Les Ardoines,19,
RER C 4,Choisy le Roi,20,
RER C 4,Les Saules,21,
RER C 4,Orly Ville,22,
RER C 4,Pont de Rungis – Aéroport d’Orly,23,METRO 14
RER C 4,Rungis La Fraternelle,24,
RER C 4,Chemin d’Antony,25,
RER C 4,Massy Verrières,26,RER B
RER C 4,Massy Palaiseau,27,RER B
RER C 5,Versailles Château Rive Gauche,1,
RER C 5,Porchefontaine,2,
RER C 5,Viroflay Rive Gauche,3,METRO 6
RER C 5,Chaville Vélizy,4,
RER C 5,Meudon Val Fleury,5,
RER C 5,Issy,6,
RER C 5,Issy Val de Seine,7,
RER C 5,Pont du Garigliano – Hôpital Européen Georges Pompidou,8,
RER C 5,Javel,9,METRO 10
RER C 5,Champ de Mars – Tour Eiffel,10,METRO 6
RER C 5,Pont de l’Alma,11,METRO 9
RER C 5,Invalides,12,"METRO 8, METRO 13"
RER C 5,Musée d’Orsay,13,METRO 12
RER C 5,Saint-Michel Notre Dame,14,"RER B, METRO 4, METRO 10"
RER C 5,Paris Austerlitz,15,"METRO 5, METRO 10"
RER C 5,Bibliothèque François Mitterrand,16,METRO 14
RER C 5,Ivry sur Seine,17,METRO 7
RER C 5,Vitry sur Seine,18,
RER C 5,Les Ardoines,19,
RER C 5,Choisy le Roi,20,
RER C 5,Les Saules,21,
RER C 5,Orly Ville,22,
RER C 5,Pont de Rungis – Aéroport d’Orly,23,METRO 14
RER C 5,Rungis La Fraternelle,24,
RER C 5,Chemin d’Antony,25,
RER C 5,Massy Verrières,26,RER B
RER C 5,Massy Palaiseau,27,RER B
RER C 5,Savigny sur Orge,28,
RER C 5,Épinay sur Orge,29,
RER C 5,Sainte-Geneviève des Bois,30,
RER C 5,Saint-Michel sur Orge,31,
RER C 5,Brétigny,32,
RER C 5,Marolles en Hurepoix,33,
RER C 5,Bouray,34,
RER C 5,Lardy,35,
RER C 5,Chamarande,36,
RER C 5,Étréchy,37,
RER C 5,Étampes,38,
RER C 5,Saint Martin d’Étampes,39,
RER C 6,Versailles Château Rive Gauche,1,
RER C 6,Porchefontaine,2,
RER C 6,Viroflay Rive Gauche,3,METRO 6
RER C 6,Chaville Vélizy,4,
RER C 6,Meudon Val Fleury,5,
RER C 6,Issy,6,
RER C 6,Issy Val de Seine,7,
RER C 6,Pont du Garigliano – Hôpital Européen Georges Pompidou,8,
RER C 6,Javel,9,METRO 10
RER C 6,Champ de Mars – Tour Eiffel,10,METRO 6
RER C 6,Pont de l’Alma,11,METRO 9
RER C 6,Invalides,12,"METRO 8, METRO 13"
RER C 6,Musée d’Orsay,13,METRO 12
RER C 6,Saint-Michel Notre Dame,14,"RER B, METRO 4, METRO 10"
RER C 6,Paris Austerlitz,15,"METRO 5, METRO 10"
RER C 6,Bibliothèque François Mitterrand,16,METRO 14
RER C 6,Ivry sur Seine,17,METRO 7
RER C 6,Vitry sur Seine,18,
RER C 6,Les Ardoines,19,
RER C 6,Choisy le Roi,20,
RER C 6,Les Saules,21,
RER C 6,Orly Ville,22,
RER C 6,Pont de Rungis – Aéroport d’Orly,23,METRO 14
RER C 6,Rungis La Fraternelle,24,
RER C 6,Chemin d’Antony,25,
RER C 6,Massy Verrières,26,RER B
RER C 6,Massy Palaiseau,27,RER B
RER C 6,Brétigny,28,
RER C 6,La Norville – Saint-Germain lès Arpajon,29,
RER C 6,Arpajon,30,
RER C 6,Égly,31,
RER C 6,Breuillet – Bruyères le Châtel,32,
RER C 6,Breuillet Village,33,
RER C 6,Saint-Chéron,34,
RER C 6,Sermaise,35,
RER C 6,Dourdan,36,
RER C 6,Dourdan la Forêt,37,
RER C 7,Saint Quentin en Yvelines,1,
RER C 7,Saint-Cyr,2,
RER C 7,Versailles Chantiers,3,
RER C 7,Viroflay Rive Gauche,4,METRO 6
RER C 7,Chaville Vélizy,5,
RER C 7,Meudon Val Fleury,6,
RER C 7,Issy,7,
RER C 7,Issy Val de Seine,8,
RER C 7,Pont du Garigliano – Hôpital Européen Georges Pompidou,9,
RER C 7,Javel,10,METRO 10
RER C 7,Champ de Mars – Tour Eiffel,11,METRO 6
RER C 7,Pont de l’Alma,12,METRO 9
RER C 7,Invalides,13,"METRO 8, METRO 13"
RER C 7,Musée d’Orsay,14,METRO 12
RER C 7,Saint-Michel Notre Dame,15,"RER B, METRO 4, METRO 10"
RER C 7,Paris Austerlitz,16,"METRO 5, METRO 10"
RER C 7,Bibliothèque François Mitterrand,17,METRO 14
RER C 7,Ivry sur Seine,18,METRO 7
RER C 7,Vitry sur Seine,19,
RER C 7,Les Ardoines,20,
RER C 7,Choisy le Roi,21,
RER C 7,Les Saules,22,
RER C 7,Orly Ville,23,
RER C 7,Pont de Rungis – Aéroport d’Orly,24,METRO 14
RER C 7,Rungis La Fraternelle,25,
RER C 7,Chemin d’Antony,26,
RER C 7,Massy Verrières,27,RER B
RER C 7,Massy Palaiseau,28,RER B
RER C 8,Saint Quentin en Yvelines,1,
RER C 8,Saint-Cyr,2,
RER C 8,Versailles Chantiers,3,
RER C 8,Viroflay Rive Gauche,4,METRO 6
RER C 8,Chaville Vélizy,5,
RER C 8,Meudon Val Fleury,6,
RER C 8,Issy,7,
RER C 8,Issy Val de Seine,8,
RER C 8,Pont du Garigliano – Hôpital Européen Georges Pompidou,9,
RER C 8,Javel,10,METRO 10
RER C 8,Champ de Mars – Tour Eiffel,11,METRO 6
RER C 8,Pont de l’Alma,12,METRO 9
RER C 8,Invalides,13,"METRO 8, METRO 13"
RER C 8,Musée d’Orsay,14,METRO 12
RER C 8,Saint-Michel Notre Dame,15,"RER B, METRO 4, METRO 10"
RER C 8,Paris Austerlitz,16,"METRO 5, METRO 10"
RER C 8,Bibliothèque François Mitterrand,17,METRO 14
RER C 8,Ivry sur Seine,18,METRO 7
RER C 8,Vitry sur Seine,19,
RER C 8,Les Ardoines,20,
RER C 8,Choisy le Roi,21,
RER C 8,Les Saules,22,
RER C 8,Orly Ville,23,
RER C 8,Pont de Rungis – Aéroport d’Orly,24,METRO 14
RER C 8,Rungis La Fraternelle,25,
RER C 8,Chemin d’Antony,26,
RER C 8,Massy Verrières,27,RER B
RER C 8,Massy Palaiseau,28,RER B
RER C 8,Savigny sur Orge,29,
RER C 8,Épinay sur Orge,30,
RER C 8,Sainte-Geneviève des Bois,31,
RER C 8,Saint-Michel sur Orge,32,
RER C 8,Brétigny,33,
RER C 8,Marolles en Hurepoix,34,
RER C 8,Bouray,35,
RER C 8,Lardy,36,
RER C 8,Chamarande,37,
RER C 8,Étréchy,38,
RER C 8,Étampes,39,
RER C 8,Saint Martin d’Étampes,40,
RER C 9,Saint Quentin en Yvelines,1,
RER C 9,Saint-Cyr,2,
RER C 9,Versailles Chantiers,3,
RER C 9,Viroflay Rive Gauche,4,METRO 6
RER C 9,Chaville Vélizy,5,
RER C 9,Meudon Val Fleury,6,
RER C 9,Issy,7,
RER C 9,Issy Val de Seine,8,
RER C 9,Pont du Garigliano – Hôpital Européen Georges Pompidou,9,
RER C 9,Javel,10,METRO 10
RER C 9,Champ de Mars – Tour Eiffel,11,METRO 6
RER C 9,Pont de l’Alma,12,METRO 9
RER C 9,Invalides,13,"METRO 8, METRO 13"
RER C 9,Musée d’Orsay,14,METRO 12
RER C 9,Saint-Michel Notre Dame,15,"RER B, METRO 4, METRO 10"
RER C 9,Paris Austerlitz,16,"METRO 5, METRO 10"
RER C 9,Bibliothèque François Mitterrand,17,METRO 14
RER C 9,Ivry sur Seine,18,METRO 7
RER C 9,Vitry sur Seine,19,
RER C 9,Les Ardoines,20,
